ἆ|ah!
εὐπραγέω|to do well, be well off, flourish
εὐπράγημα|a success
εὐπραγία|well-doing, well-being, welfare, success
εὐπρακτέω|prosper
εὔπρακτος|easy to be done
εὐπραξία|good conduct
εὔπρεμνος|with good stem
εὐπρέπεια|goodly appearance, dignity, comeliness
εὐπρεπέω|to be seemly, acceptable
εὐπρεπής|well-looking, goodly, comely
εὐπρεπίζω|to be acceptable
εὔπρεπτος|conspicuous
εὔπρηστος|well-blowing, strong-blowing
εὐπριστία|the being skilfully sawn
εὔπριστος|easily sawn
εὐπροαίρετος|having a good moral purpose
εὐπροόρατος|easily foreseen
εὐπρόσδεκτος|acceptable
εὐπροσδόκητος|well-expected
εὐπροσηγορία|affability
εὐπροσήγορος|easy of address
εὐπρόσθετος|easily assimilated
εὐπρόσιτος|easy of access
εὐπρόσκοπος|far-seeing, cautious
εὐπροσόδευτος|income-producing
εὐπρόσοδος|accessible, affable
εὐπρόσοιστος|easy of approach
εὐπροσόμιλος|pleasant, nice to deal with
εὐπροσόρμιστος|easy to land on
εὐπρόσφορος|easily uttering, fluent
εὐπρόσφυτος|easily growing to
εὐπροσωπέω|to make a fair show
εὐπροσωπία|fair appearance
εὐπροσωποκοίτης|lying so as to present a fair face
εὐπρόσωπος|fair of face
εὐπροφάσιστος|with good pretext, plausible
εὐπρόφορος|easy to pronounce
εὐπροχώρητος|progressing easily
εὐπρυμνής|well-steering, well-governing
εὔπρυμνος|with goodly stern
εὔπρῳρος|with goodly prow
εὔπταιστος|easily stumbling
εὔπτερος|well-winged, well-plumed
εὐπτησία|expertness in flying
εὐπτόητος|easily scared
εὔπτορθος|finely branching
εὐπυγία|fine shape in the hinder parts
εὐπυγμέω|to be in vigorous health
εὔπυγος|well-shaped in the hinder parts
εὐπυνδάκωτος|well-bottomed
εὔπυργος|well-towered
εὔπυρος|fertile in corn
εὐπύρωτος|easily set fire to
εὐπώγων|well-bearded
εὔπωλος|abounding in foals
εὐρακύλων|euroaquilo
εὐράξ|on one side, sideways
εὔραπτος|well-sewn
εὐρέϊος|easterly
εὐρέκτης|beneficent
εὑρεσίκακος|inventive of evil
εὑρέσιος|Juppiter Inventor
εὕρεσις|a finding, discovery
εὑρεσίτεχνος|inventor of arts
εὑρετέος|to be discovered, found out
εὑρετής|an inventor, discoverer
εὑρετικός|inventive, ingenious
εὑρετός|discoverable
εὕρετρα|reward given to finder
εὔρηκτος|easy to break
εὕρημα|an invention, discovery
εὐρημοσύνη|fluency, eloquence
εὐρήμων|fluent, eloquent
εὑρησιεπής|inventive of words, fluent
εὑρησιλογέω|invent ingenious arguments, explanations
εὑρησιλογία|skill in finding arguments
εὑρησίλογος|ingenious in argument, sophistical
εὔρητος|easy to tell
εὔριζος|well-rooted
εὔριν|with a good nose
εὔρινος|with a good nose
εὔρινος2|of good leather
εὐριπιδαριστοφανίζω|write in the style of Euripides and Aristophanes
Εὐριπίδειος|of Euripides
εὐριπίδης|dice cast of 40
Εὐριπιδικῶς|like Euripides
Εὐριπίδιον|little Euripides
Εὐριπική|kind of reed
εὐρίπιστος|easily fanned into flame
Εὔριπος|a place where the flux and reflux is strong
Εὐριπώδης|like a Euripus
εὔρις|with a good nose
εὑρίσκω|to find
εὐροέω|to flow well
εὐρόθιος|rushing rapidly
εὔροια|a good flow, free passage
εὐροίζητος|loud-whizzing
εὐροκλύδων|a storm from the East;
εὐρόνοτος|a wind between
εὔροος|fair-flowing
εὔροπος|easily inclining, easy-sliding
εὖρος|breadth, width
Εὖρος|the East wind
ἐΰρραπις|with beautiful staff
ἐϋρραφής|well-stitched
ἐϋρρεής|fair-flowing
ἐΰρρην|abounding in sheep
ἐΰρρηνος|abounding in sheep; of a good sheep
ἐΰρρηχος|very prickly
εὐρυάγυια|with wide streets
εὐρυαίχμας|far-stretching with the spear, far-conquering
εὐρύαλος|with wide threshing-floor
εὐρύαναξ|wide-ruling
εὐρύβατος|wide-stepping
εὐρυβόας|far-shouting, loud-shouting
εὐρυγάστωρ|big-bellied
εὐρυγένειος|broad-chinned
εὐρυδίκεια|festival of Eurydice
εὐρυδίνης|wide-eddying
εὐρυεδής|broad-seated, spacious
εὐρύζυγος|broad-throned, wide-ruling
εὐρυθέμειλος|with broad foundations
εὐρυθμία|rhythmical order
εὐρυθμίζω|shape
εὐρύθμιστος|easily shaped
εὐρυθμοκάρηνος|broad-headed
εὐρύκερως|with spreading horns
εὔρυθμος|rhythmical
εὐρυκλῆς|ventriloquist
εὐρυκοίλιος|hollow
εὐρυκρείων|wide-ruling
εὐρυλείμων|with broad meadows
εὐρυμενής|broad and strong
εὐρυμέτωπος|broad-fronted
εὐρυνεφής|lord of spreading clouds
εὐρύνοος|broad-minded
εὐρυντέον|one must dilate
εὐρύνω|to broaden
εὐρύνωτος|broad-backed
εὐρυόδεια|with broad, open ways
εὐρύοπα|the far-seeing
εὐρυπέδιλος|broad-sandalled: broad
εὐρύπεδος|with broad surface
εὐρύπορος|with broad ways
εὐρυπρωκτία|lewdness
εὐρύπρωκτος|lewd, filthy
εὔρυπτος|easy to wash out
εὐρυπυλής|with broad gates
εὐρυρέεθρος|with broad channel, broadflowing
εὐρυρέων|broad-flowing
εὐρύς|wide, broad
εὐρυσάκης|with broad shield
εὐρυσθενής|of far-extended might, mighty
εὐρυσματώδης|like a dilatation
εὐρύσορος|with wide bier
εὐρύστερνος|broad-breasted
εὐρυστομία|broadness of pronunciation
εὐρύστομος|wide-mouthed
εὐρυτενής|wide-extended
εὐρύτης|width
εὐρύτιμος|wide, far-honoured
εὐρύτρητος|with wide holes
Εὐρυφάεσσα|Far-shining
εὐρυφαρέτρας|with broad quiver
εὐρυφαρέτρης|with wide quiver
εὐρύφλεβος|with wide veins
εὐρυφυής|broad-growing
εὐρυφωνία|broadness of sound
εὐρυχαδής|wide-mouthed
εὐρυχαίτας|with flowing hair
εὐρυχαίτης|with wide-streaming hair
εὐρύχορος|with broad places, spacious
εὐρυχωρέω|enlarge
εὐρυχωρία|open space, free room
εὐρύχωρος|roomy, wide
εὐρώγης|abounding in grapes
εὐρώεις|mouldy, dank
Εὐρώπη|Europa, Europe
Εὐρωπία|broad surface
εὐρώπιος|of Europa
εὐρώς|mould, dank decay
εὐρωστέω|to be robust
εὐρωστία|stoutness, strength
εὔρωστος|stout, strong
εὐρωστόψυχος|stout-hearted
Εὐρώτας|Eurotas, river in Laconia
εὐρωτιάω|to be or become mouldy, decay
ἐΰς|good, brave, noble
εὐσάλευτος|easily shaken
εὔσαλος|with a good roadstead
εὐσαρκέω|to be fleshy
εὐσαρκία|fullness of flesh, good condition
εὔσαρκος|fleshy, in good case, plump
εὐσαρκόω|make
εὔσβεστος|easily quenched
Εὐσέβεια|games in honor of Antoninus Pius
εὐσέβεια|reverence towards the gods, piety, religion
εὐσεβέω|to live or act piously, religiously
εὐσέβημα|deed of piety
εὐσεβής|pious, religious, righteous
εὔσειστος|liable to earthquakes
εὐσέλαος|bright-shining
εὔσελμος|well-benched, with good banks of oars
εὔσεπτος|much reverenced, holy
εὐσήκωτος|well-poised
εὐσήμαντος|easily remarked
εὐσημείωτον|bene clavatum
εὐσημία|good prognostic
εὔσημος|of good signs
εὔσηπτος|easily putrefying
εὐσηψία|readiness to decay
εὐσθένεια|strength, firmness
εὐσθενέω|to be strong, healthy
εὐσθενής|stout, lively
εὐσίδηρος|well-ironed
εὐσίπυος|with full bread-basket
εὐσιτέω|to have a good appetite
εὐσιτία|hearty appetite
εὔσιτος|with good appetite
εὔσκαλμος|well-tholed
εὐσκάνδιξ|abounding in chervil
ἐύσκαρθμος|lightly bounding
εὔσκαρθμος|swift-springing, bounding
εὔσκαφος|easy to dig
εὐσκέδαστος|easy to disperse
εὐσκέπαστος|well-protected
εὐσκεπής|sheltered
εὔσκεπτος|easy to examine
εὐσκευέω|to be well equipt
εὔσκευος|well-wrought
εὐσκίαστος|well-shaded, shadowy
εὐσκόπελος|rocky
εὔσκοπος|sharp-seeing, keen-sighted, watchful
ἐύσκοπος|well - aiming
εὔσκυλτος|agilis, mobilis
εὐσκωμμοσύνη|quickness in jesting
εὐσκώμμων|of ready wit
ἐΰσμηκτος|well-cleaned
ἐΰσμηνος|forming fine swarms
ἐϋσμῆριγξ|with beautiful tresses
εὐσμίλευτος|well-chiselled
εὔσοια|happiness, prosperity
εὔσοος|safe and well, happy
εὔσους|safe and well, happy
εὐσπάθητος|closelywoven
εὐσπειρής|well-turned, wreathing, winding
εὐσπλαγχνία|good heart, firmness
εὔσπλαγχνος|with healthy bowels
εὔσπορος|well-sown
ἐύσσελμος|with good deck, well - decked
εὐστάθεια|stability: good health, vigour
εὐσταθέω|to be steady, favourable
εὐσταθής|well-based, well-built
εὔσταθμος|accurately measured
εὐστάλεια|light equipment
εὐσταλής|well-equipt
εὐστάφυλος|rich in grapes
εὔσταχυς|rich in corn
εὐστεγής|well-covered
εὐστείλεος|with a good haft
ἐϋστείρη|with good keel
εὔστεκτος|guarded, self-controlled
εὔστερνος|broad-chested
εὐστέφανος|well-crowned
ἐυστέφανος|with beautiful head-band
εὐστήρικτος|firm, fixed
εὐστιβής|well-trodden
ἐὔστικτος|variegated
εὔστιπτος|closely-woven
εὐστιχία|good ordering of lines
εὐστομαχέω|have a good appetite
εὐστομαχία|wholesomeness
εὐστόμαχος|with good stomach
εὐστομέω|to sing sweetly
εὐστομία|goodness of sound, euphony
εὔστομος|with mouth of good size
εὐστόν|victim whose skin is singed
εὔστοργος|contented
εὐστόρθυγξ|from a good trunk
εὔστοος|with goodly colonnades
εὐστοχέω|hit the mark, succeed
εὐστόχημα|lucky hit
εὐστοχία|skill in shooting at a mark, good aim
εὔστοχος|well-aimed
εὕστρα|place for singeing slaughtered swine
εὔστρεπτος|well-twisted
ἐύστρεπτος|well-twisted
ἐϋστρεφής|well-twisted
εὐστροφάλιγξ|curly
εὐστροφία|suppleness, versatility
εὔστροφος|well-twisted
εὔστρωτος|well spread with clothes
εὔστυλος|with goodly pillars
εὐσύγκριτος|well-compounded, well-constituted
εὐσύγκρυπτος|well-covered
εὐσυκοφάντητος|exposed to calumny
εὐσύλληπτος|easily taken
εὐσυλλόγιστος|well-concluded, conclusive
εὐσυμβίβαστος|probable, consistent
εὐσυμβίωτος|easy to live with
εὐσύμβολος|easy to divine
εὐσύμβουλος|giving good counsel
εὐσυμμέτρως|in suitable proportions
εὐσυμπερίφορος|easy to live with, accommodating
εὐσυμπλήρωτος|easily filled up, attained
εὐσύμπτωτος|collapsing easily
εὐσύμφυτος|easily growing together
εὐσυνάγωγος|easily collected together
εὐσυνάλλακτος|easy to deal with
εὐσυναλλαξία|fair dealing
εὐσυνάρμοστος|easily fitted together
εὐσυνδεξίαστος|loyal to pledges given
εὐσύνδετος|readily combining
εὐσυνειδησία|conscientiousness, integrity
εὐσυνείδητος|with a good conscience
εὐσυνεσία|shrewdness
